method,noise_type,filename,PSNR,SSIM
median,gaussian_10,kodim01.png,25.7682,0.7351
median,gaussian_10,kodim02.png,30.8661,0.7566
median,gaussian_10,kodim03.png,31.8366,0.7905
median,gaussian_10,kodim04.png,31.4117,0.7968
median,gaussian_10,kodim05.png,26.5038,0.8340
median,gaussian_10,kodim06.png,26.8816,0.7394
median,gaussian_10,kodim07.png,31.6549,0.8531
median,gaussian_10,kodim08.png,23.5652,0.7636
median,gaussian_10,kodim09.png,31.1683,0.7942
median,gaussian_10,kodim10.png,30.8611,0.8052
median,gaussian_10,kodim11.png,28.3659,0.7599
median,gaussian_10,kodim12.png,31.4396,0.7722
median,gaussian_10,kodim13.png,23.4219,0.7003
median,gaussian_10,kodim14.png,28.1492,0.7964
median,gaussian_10,kodim15.png,30.6796,0.7855
median,gaussian_10,kodim16.png,29.3111,0.7454
median,gaussian_10,kodim17.png,30.5264,0.8239
median,gaussian_10,kodim18.png,27.0788,0.7826
median,gaussian_10,kodim19.png,27.5802,0.7625
median,gaussian_10,kodim20.png,30.7778,0.8168
median,gaussian_10,kodim21.png,27.7425,0.7817
median,gaussian_10,kodim22.png,29.2996,0.7779
median,gaussian_10,kodim23.png,32.7680,0.8256
median,gaussian_10,kodim24.png,25.8311,0.7870
median,gaussian_25,kodim01.png,23.6886,0.5917
median,gaussian_25,kodim02.png,26.5361,0.4895
median,gaussian_25,kodim03.png,26.8447,0.4942
median,gaussian_25,kodim04.png,26.6875,0.5410
median,gaussian_25,kodim05.png,24.0627,0.6867
median,gaussian_25,kodim06.png,24.4975,0.5431
median,gaussian_25,kodim07.png,26.6751,0.6092
median,gaussian_25,kodim08.png,22.1626,0.6420
median,gaussian_25,kodim09.png,26.5354,0.5192
median,gaussian_25,kodim10.png,26.4211,0.5361
median,gaussian_25,kodim11.png,25.3215,0.5405
median,gaussian_25,kodim12.png,26.6878,0.4948
median,gaussian_25,kodim13.png,22.1283,0.5900
median,gaussian_25,kodim14.png,25.1616,0.6150
median,gaussian_25,kodim15.png,26.5041,0.5210
median,gaussian_25,kodim16.png,25.8677,0.4995
median,gaussian_25,kodim17.png,26.4145,0.5757
median,gaussian_25,kodim18.png,24.6821,0.5929
median,gaussian_25,kodim19.png,24.8715,0.5356
median,gaussian_25,kodim20.png,26.8581,0.5826
median,gaussian_25,kodim21.png,24.9571,0.5494
median,gaussian_25,kodim22.png,25.8474,0.5524
median,gaussian_25,kodim23.png,27.1661,0.5249
median,gaussian_25,kodim24.png,23.9345,0.5944
median,gaussian_50,kodim01.png,20.3036,0.4095
median,gaussian_50,kodim02.png,21.7361,0.2558
median,gaussian_50,kodim03.png,21.6901,0.2510
median,gaussian_50,kodim04.png,21.6267,0.2948
median,gaussian_50,kodim05.png,20.5518,0.4928
median,gaussian_50,kodim06.png,20.7925,0.3342
median,gaussian_50,kodim07.png,21.5752,0.3713
median,gaussian_50,kodim08.png,19.4884,0.4852
median,gaussian_50,kodim09.png,21.4865,0.2826
median,gaussian_50,kodim10.png,21.4758,0.2903
median,gaussian_50,kodim11.png,21.1848,0.3223
median,gaussian_50,kodim12.png,21.5863,0.2539
median,gaussian_50,kodim13.png,19.5562,0.4234
median,gaussian_50,kodim14.png,21.0872,0.3947
median,gaussian_50,kodim15.png,21.7952,0.2865
median,gaussian_50,kodim16.png,21.3080,0.2659
median,gaussian_50,kodim17.png,21.7430,0.3314
median,gaussian_50,kodim18.png,20.9272,0.3721
median,gaussian_50,kodim19.png,20.8628,0.3170
median,gaussian_50,kodim20.png,22.2866,0.3384
median,gaussian_50,kodim21.png,20.9164,0.3320
median,gaussian_50,kodim22.png,21.2680,0.3110
median,gaussian_50,kodim23.png,21.7770,0.2657
median,gaussian_50,kodim24.png,20.5335,0.3721
median,sp_0.01,kodim01.png,26.3555,0.7884
median,sp_0.01,kodim02.png,32.8339,0.8725
median,sp_0.01,kodim03.png,34.5127,0.9270
median,sp_0.01,kodim04.png,33.8369,0.9037
median,sp_0.01,kodim05.png,27.3273,0.8890
median,sp_0.01,kodim06.png,27.6308,0.8205
median,sp_0.01,kodim07.png,34.6750,0.9609
median,sp_0.01,kodim08.png,23.8896,0.8098
median,sp_0.01,kodim09.png,33.4894,0.9195
median,sp_0.01,kodim10.png,32.9710,0.9236
median,sp_0.01,kodim11.png,29.4639,0.8552
median,sp_0.01,kodim12.png,33.7977,0.8956
median,sp_0.01,kodim13.png,23.7391,0.7372
median,sp_0.01,kodim14.png,29.2698,0.8668
median,sp_0.01,kodim15.png,32.5166,0.9029
median,sp_0.01,kodim16.png,30.6160,0.8513
median,sp_0.01,kodim17.png,32.5217,0.9314
median,sp_0.01,kodim18.png,27.8216,0.8572
median,sp_0.01,kodim19.png,28.4041,0.8555
median,sp_0.01,kodim20.png,32.3838,0.9116
median,sp_0.01,kodim21.png,28.6690,0.8836
median,sp_0.01,kodim22.png,30.6378,0.8701
median,sp_0.01,kodim23.png,36.2621,0.9582
median,sp_0.01,kodim24.png,26.3348,0.8676
median,sp_0.03,kodim01.png,26.2223,0.7851
median,sp_0.03,kodim02.png,32.6610,0.8706
median,sp_0.03,kodim03.png,34.1920,0.9251
median,sp_0.03,kodim04.png,33.5726,0.9017
median,sp_0.03,kodim05.png,27.0912,0.8852
median,sp_0.03,kodim06.png,27.5026,0.8177
median,sp_0.03,kodim07.png,34.2404,0.9590
median,sp_0.03,kodim08.png,23.7626,0.8066
median,sp_0.03,kodim09.png,33.1918,0.9177
median,sp_0.03,kodim10.png,32.7250,0.9214
median,sp_0.03,kodim11.png,29.3091,0.8524
median,sp_0.03,kodim12.png,33.5464,0.8938
median,sp_0.03,kodim13.png,23.6326,0.7335
median,sp_0.03,kodim14.png,29.0886,0.8638
median,sp_0.03,kodim15.png,32.2706,0.9009
median,sp_0.03,kodim16.png,30.4955,0.8489
median,sp_0.03,kodim17.png,32.3505,0.9293
median,sp_0.03,kodim18.png,27.6923,0.8547
median,sp_0.03,kodim19.png,28.2773,0.8533
median,sp_0.03,kodim20.png,31.9906,0.9100
median,sp_0.03,kodim21.png,28.5174,0.8813
median,sp_0.03,kodim22.png,30.4806,0.8677
median,sp_0.03,kodim23.png,35.8342,0.9568
median,sp_0.03,kodim24.png,26.2120,0.8647
median,sp_0.05,kodim01.png,26.0502,0.7809
median,sp_0.05,kodim02.png,32.4159,0.8683
median,sp_0.05,kodim03.png,33.8961,0.9232
median,sp_0.05,kodim04.png,33.3276,0.8995
median,sp_0.05,kodim05.png,26.8268,0.8807
median,sp_0.05,kodim06.png,27.3246,0.8138
median,sp_0.05,kodim07.png,33.7838,0.9568
median,sp_0.05,kodim08.png,23.5968,0.8027
median,sp_0.05,kodim09.png,32.8927,0.9156
median,sp_0.05,kodim10.png,32.4676,0.9191
median,sp_0.05,kodim11.png,29.1080,0.8496
median,sp_0.05,kodim12.png,33.2079,0.8913
median,sp_0.05,kodim13.png,23.4867,0.7292
median,sp_0.05,kodim14.png,28.8753,0.8604
median,sp_0.05,kodim15.png,31.9934,0.8988
median,sp_0.05,kodim16.png,30.3256,0.8463
median,sp_0.05,kodim17.png,32.1386,0.9270
median,sp_0.05,kodim18.png,27.5158,0.8512
median,sp_0.05,kodim19.png,28.1262,0.8510
median,sp_0.05,kodim20.png,31.6436,0.9081
median,sp_0.05,kodim21.png,28.3210,0.8788
median,sp_0.05,kodim22.png,30.3278,0.8651
median,sp_0.05,kodim23.png,35.3909,0.9553
median,sp_0.05,kodim24.png,26.0921,0.8617
gaussian,gaussian_10,kodim01.png,25.2467,0.7398
gaussian,gaussian_10,kodim02.png,30.8929,0.8135
gaussian,gaussian_10,kodim03.png,31.4462,0.8471
gaussian,gaussian_10,kodim04.png,30.9970,0.8422
gaussian,gaussian_10,kodim05.png,25.1765,0.8170
gaussian,gaussian_10,kodim06.png,26.5855,0.7675
gaussian,gaussian_10,kodim07.png,30.6186,0.8895
gaussian,gaussian_10,kodim08.png,22.9171,0.7661
gaussian,gaussian_10,kodim09.png,30.2140,0.8459
gaussian,gaussian_10,kodim10.png,30.0766,0.8499
gaussian,gaussian_10,kodim11.png,27.9485,0.7967
gaussian,gaussian_10,kodim12.png,30.6769,0.8294
gaussian,gaussian_10,kodim13.png,23.2233,0.7068
gaussian,gaussian_10,kodim14.png,27.6578,0.8130
gaussian,gaussian_10,kodim15.png,29.6175,0.8376
gaussian,gaussian_10,kodim16.png,29.6653,0.7979
gaussian,gaussian_10,kodim17.png,30.4718,0.8652
gaussian,gaussian_10,kodim18.png,26.9354,0.8041
gaussian,gaussian_10,kodim19.png,27.1986,0.7997
gaussian,gaussian_10,kodim20.png,28.6330,0.8569
gaussian,gaussian_10,kodim21.png,27.3135,0.8186
gaussian,gaussian_10,kodim22.png,29.0558,0.8139
gaussian,gaussian_10,kodim23.png,31.7358,0.8817
gaussian,gaussian_10,kodim24.png,25.7716,0.8089
gaussian,gaussian_25,kodim01.png,24.3584,0.6604
gaussian,gaussian_25,kodim02.png,28.4056,0.6383
gaussian,gaussian_25,kodim03.png,28.5770,0.6407
gaussian,gaussian_25,kodim04.png,28.3768,0.6729
gaussian,gaussian_25,kodim05.png,24.2552,0.7354
gaussian,gaussian_25,kodim06.png,25.3231,0.6469
gaussian,gaussian_25,kodim07.png,28.1041,0.7243
gaussian,gaussian_25,kodim08.png,22.2838,0.6966
gaussian,gaussian_25,kodim09.png,27.8765,0.6527
gaussian,gaussian_25,kodim10.png,27.7639,0.6667
